Время,Монета,"Спред, %","Прибыль, USDT"
2025-04-07T08:26:20.583854,IOTX,3.33,33.28
2025-04-07T08:26:20.583854,ZIL,3.21,32.11
2025-04-07T08:27:21.127327,CELR,8.49,84.85
2025-04-07T08:27:21.127327,RVN,4.95,49.5
2025-04-07T08:27:21.127327,IOTX,3.38,33.75
2025-04-07T08:27:21.127327,ZIL,3.3,33.05
2025-04-07T08:28:21.637846,CELR,8.14,81.36
2025-04-07T08:28:21.637846,RVN,4.58,45.77
2025-04-07T08:28:21.637846,GALA,3.97,39.68
2025-04-07T08:28:21.637846,ACH,3.57,35.68
2025-04-07T08:28:21.637846,IOTX,3.21,32.14
2025-04-07T08:29:22.179985,CELR,8.29,82.94
2025-04-07T08:29:22.179985,RVN,4.62,46.19
2025-04-07T08:29:22.179985,GALA,4.04,40.37
2025-04-07T08:29:22.179985,ACH,3.55,35.51
2025-04-07T08:29:22.179985,IOTX,3.3,33.04
2025-04-07T08:30:22.690006,CELR,8.12,81.16
2025-04-07T08:30:22.691005,RVN,4.45,44.47
2025-04-07T08:30:22.691005,ACH,3.78,37.76
2025-04-07T08:30:22.691005,GALA,3.62,36.16
2025-04-07T08:31:23.203705,CELR,8.28,82.77
2025-04-07T08:31:23.203705,RVN,4.42,44.15
2025-04-07T08:31:23.203705,ACH,3.8,38.04
2025-04-07T08:31:23.203705,GALA,3.23,32.26
2025-04-07T08:31:23.203705,IOTX,3.05,30.54
2025-04-07T08:32:23.771312,CELR,8.06,80.61
2025-04-07T08:32:23.771312,RVN,4.58,45.78
2025-04-07T08:32:23.771312,GALA,3.67,36.66
2025-04-07T08:32:23.771312,ACH,3.63,36.32
2025-04-07T08:33:24.276254,CELR,8.14,81.36
2025-04-07T08:33:24.276254,PEOPLE,5.89,58.93
2025-04-07T08:33:24.276254,RVN,4.87,48.73
2025-04-07T08:33:24.276254,ACH,3.87,38.75
2025-04-07T08:33:24.276254,GALA,3.74,37.38
2025-04-07T08:33:24.276254,IOTX,3.13,31.29
2025-04-07T08:33:24.276254,ZIL,3.12,31.19
2025-04-07T08:34:24.970098,CELR,8.38,83.76
2025-04-07T08:34:24.970098,PEOPLE,5.48,54.84
2025-04-07T08:34:24.970098,RVN,4.77,47.71
2025-04-07T08:34:24.970098,ACH,3.65,36.51
2025-04-07T08:34:24.970098,GALA,3.39,33.86
2025-04-07T08:35:25.528519,CELR,7.59,75.86
2025-04-07T08:35:25.528519,PEOPLE,5.06,50.63
2025-04-07T08:35:25.528519,RVN,4.02,40.15
2025-04-07T08:35:25.528519,ACH,3.27,32.69
2025-04-07T08:36:26.078918,CELR,7.58,75.75
2025-04-07T08:36:26.078918,PEOPLE,4.84,48.4
2025-04-07T08:36:26.078918,RVN,3.82,38.24
2025-04-07T08:36:26.078918,ACH,3.07,30.69
2025-04-07T08:37:26.637704,CELR,7.45,74.49
2025-04-07T08:37:26.637704,PEOPLE,5.23,52.26
2025-04-07T08:37:26.637704,RVN,3.63,36.31
2025-04-07T08:37:26.637704,ACH,3.09,30.93
2025-04-07T08:38:27.188260,CELR,7.48,74.84
2025-04-07T08:38:27.188260,PEOPLE,5.62,56.25
2025-04-07T08:38:27.188260,RVN,3.77,37.74
2025-04-07T08:38:27.188260,ACH,3.24,32.38
2025-04-07T08:39:27.697993,CELR,7.37,73.74
2025-04-07T08:39:27.697993,PEOPLE,6.07,60.67
2025-04-07T08:39:27.697993,RVN,3.88,38.85
2025-04-07T08:39:27.697993,ACH,3.47,34.68
2025-04-07T08:40:28.601508,CELR,7.65,76.54
2025-04-07T08:40:28.601508,PEOPLE,5.58,55.85
2025-04-07T08:40:28.601508,RVN,3.86,38.62
2025-04-07T08:40:28.601508,ACH,3.5,35.02
2025-04-07T08:41:29.144886,CELR,7.76,77.61
2025-04-07T08:41:29.144886,FIO,5.96,59.65
2025-04-07T08:41:29.144886,RVN,3.97,39.65
2025-04-07T08:41:29.144886,ACH,3.66,36.61
2025-04-07T08:42:29.690611,CELR,7.42,74.24
2025-04-07T08:42:29.690611,FIO,5.66,56.56
2025-04-07T08:42:29.690611,RVN,3.72,37.15
2025-04-07T08:42:29.690611,ACH,3.63,36.29
2025-04-07T08:43:30.281341,CELR,6.96,69.58
2025-04-07T08:43:30.281341,FIO,5.27,52.67
2025-04-07T08:43:30.281341,PEOPLE,5.18,51.77
2025-04-07T08:43:30.281341,RVN,3.49,34.89
2025-04-07T08:43:30.281341,ACH,3.1,30.99
2025-04-07T08:44:30.986315,CELR,6.84,68.36
2025-04-07T08:44:30.986315,PEOPLE,5.33,53.28
2025-04-07T08:44:30.986315,FIO,5.33,53.28
2025-04-07T08:44:30.986315,RVN,3.37,33.71
2025-04-07T08:45:31.583727,CELR,6.83,68.27
2025-04-07T08:45:31.583727,FIO,5.68,56.83
2025-04-07T08:45:31.583727,PEOPLE,5.23,52.29
2025-04-07T08:45:31.583727,RVN,3.69,36.86
2025-04-07T08:45:31.583727,POND,3.22,32.23
2025-04-07T08:45:31.583727,ACH,3.08,30.84
2025-04-07T08:46:32.105695,CELR,7.26,72.61
2025-04-07T08:46:32.105695,FIO,5.85,58.51
2025-04-07T08:46:32.105695,RVN,3.89,38.87
2025-04-07T08:46:32.105695,POND,3.49,34.87
2025-04-07T08:46:32.105695,ACH,3.18,31.8
2025-04-07T08:47:32.589953,CELR,7.23,72.34
2025-04-07T08:47:32.589953,FIO,5.55,55.5
2025-04-07T08:47:32.589953,RVN,3.64,36.45
2025-04-07T08:47:32.589953,POND,3.46,34.61
2025-04-07T08:47:32.589953,ACH,3.04,30.43
2025-04-07T08:48:33.089512,CELR,7.09,70.89
2025-04-07T08:48:33.089512,FIO,5.41,54.07
2025-04-07T08:48:33.089512,PEOPLE,5.32,53.17
2025-04-07T08:48:33.089512,RVN,3.61,36.13
2025-04-07T08:48:33.089512,POND,3.6,36.02
2025-04-07T08:48:33.089512,ACH,3.13,31.26
2025-04-07T08:49:33.599567,CELR,7.16,71.65
2025-04-07T08:49:33.599567,FIO,5.76,57.55
2025-04-07T08:49:33.599567,PEOPLE,5.12,51.19
2025-04-07T08:49:33.599567,RVN,3.69,36.86
2025-04-07T08:49:33.599567,POND,3.67,36.75
2025-04-07T08:50:34.149673,CELR,7.22,72.16
2025-04-07T08:50:34.149673,FIO,5.42,54.18
2025-04-07T08:50:34.149673,PEOPLE,5.15,51.46
2025-04-07T08:50:34.149673,POND,3.86,38.57
2025-04-07T08:50:34.149673,RVN,3.77,37.7
2025-04-07T08:50:34.149673,ACH,3.35,33.5
2025-04-07T08:51:34.689092,CELR,7.44,74.42
2025-04-07T08:51:34.689092,FIO,5.95,59.5
2025-04-07T08:51:34.689092,POND,4.07,40.71
2025-04-07T08:51:34.689092,RVN,3.95,39.51
2025-04-07T08:51:34.689092,ACH,3.42,34.22
2025-04-07T08:52:35.166870,CELR,7.51,75.08
2025-04-07T08:52:35.166870,FIO,5.92,59.23
2025-04-07T08:52:35.166870,POND,4.28,42.77
2025-04-07T08:52:35.166870,RVN,3.91,39.05
2025-04-07T08:52:35.166870,ACH,3.32,33.17
2025-04-07T08:53:35.944531,CELR,7.06,70.63
2025-04-07T08:53:35.944531,FIO,5.78,57.81
2025-04-07T08:53:35.944531,POND,4.14,41.38
2025-04-07T08:53:35.944531,RVN,3.77,37.67
2025-04-07T08:53:35.944531,ACH,3.12,31.23
2025-04-07T08:54:36.684602,CELR,6.84,68.41
2025-04-07T08:54:36.684602,FIO,5.71,57.11
2025-04-07T08:54:36.684602,POND,4.21,42.1
2025-04-07T08:54:36.684602,RVN,3.59,35.89
2025-04-07T08:55:37.210180,CELR,6.98,69.82
2025-04-07T08:55:37.210180,FIO,5.79,57.93
2025-04-07T08:55:37.210180,POND,4.2,42.01
2025-04-07T08:55:37.210180,RVN,3.58,35.8
2025-04-07T08:56:37.987148,FIO,5.34,53.41
2025-04-07T08:56:37.987148,POND,4.44,44.39
2025-04-07T08:56:37.987148,RVN,3.35,33.5
2025-04-07T08:57:38.521494,POND,4.63,46.31
2025-04-07T08:57:38.521494,RVN,3.26,32.56
2025-04-07T08:58:39.012234,POND,4.62,46.23
2025-04-07T08:58:39.012234,RVN,3.11,31.07
2025-04-07T08:59:39.629612,POND,3.88,38.82
2025-04-07T08:59:39.629612,ACH,3.15,31.49
2025-04-07T09:00:40.337513,POND,3.49,34.88
2025-04-07T09:01:40.860217,POND,3.56,35.6
2025-04-07T09:02:41.373424,POND,3.42,34.18
2025-04-07T09:02:41.373424,RVN,3.11,31.06
2025-04-07T09:03:41.924488,POND,3.71,37.08
2025-04-07T09:03:41.924488,RVN,3.11,31.15
2025-04-07T09:04:42.649144,POND,3.67,36.75
2025-04-07T09:04:42.649144,RVN,3.08,30.81
2025-04-07T09:05:43.624503,SKL,3.59,35.88
2025-04-07T09:05:43.624503,POND,3.45,34.48
2025-04-07T09:05:43.624503,RVN,3.32,33.18
2025-04-07T09:06:44.348356,SKL,3.82,38.21
2025-04-07T09:06:44.348356,POND,3.77,37.74
2025-04-07T09:07:44.998753,SKL,3.88,38.84
2025-04-07T09:07:44.998753,POND,3.86,38.6
2025-04-07T09:08:45.521640,POND,3.77,37.67
2025-04-07T09:08:45.521640,ACH,3.03,30.35
2025-04-07T09:09:46.151691,POND,3.74,37.35
2025-04-07T09:10:46.714459,POND,3.13,31.26
2025-04-07T09:10:46.714459,VIDT,3.04,30.39
2025-04-07T09:11:47.295132,DATA,4.71,47.12
2025-04-07T09:11:47.295132,POND,3.29,32.87
2025-04-07T09:11:47.295132,ACH,3.09,30.91
2025-04-07T09:12:47.798109,DATA,4.58,45.79
2025-04-07T09:12:47.798109,POND,3.45,34.55
2025-04-07T09:12:47.798109,VIDT,3.19,31.93
2025-04-07T09:12:47.798109,ACH,3.17,31.74
2025-04-07T09:13:48.341370,DATA,4.82,48.25
2025-04-07T09:13:48.341370,POND,3.32,33.19
2025-04-07T09:13:48.341370,ACH,3.18,31.79
2025-04-07T09:14:48.959050,DATA,4.94,49.39
2025-04-07T09:14:48.959050,POND,3.56,35.55
2025-04-07T09:14:48.959050,ACH,3.08,30.77
2025-04-07T09:15:49.459100,POND,3.58,35.85
2025-04-07T09:15:49.459100,ACH,3.08,30.78
2025-04-07T09:16:49.935152,POND,3.75,37.51
2025-04-07T09:16:49.935152,ACH,3.27,32.71
2025-04-07T09:17:50.480251,POND,3.62,36.18
2025-04-07T09:17:50.480251,ACH,3.08,30.82
2025-04-07T09:18:51.364812,POND,3.76,37.57
2025-04-07T09:19:51.899665,POND,3.82,38.19
2025-04-07T09:20:52.544118,SKL,3.87,38.69
2025-04-07T09:20:52.544118,POND,3.75,37.5
2025-04-07T09:21:53.134606,POND,3.68,36.79
2025-04-07T09:21:53.134606,IOTX,3.0,30.04
2025-04-07T09:22:53.726144,POND,3.61,36.12
2025-04-07T09:23:54.242957,POND,3.74,37.43
2025-04-07T09:24:55.157968,POND,3.44,34.42
2025-04-07T09:25:55.660561,POND,3.6,36.01
2025-04-07T09:26:56.168663,POND,3.42,34.2
2025-04-07T09:27:56.675114,POND,3.39,33.86
2025-04-07T09:27:56.675114,SNT,3.01,30.09
